cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,239,113.5,159.6,9.7,12.14
Brain,single_cluster,13,103.0,210.4,54.9,2.14
Branchial arch,single_cluster,58,114.6,202.7,44.3,5.79
Cavity,single_cluster,229,106.2,171.6,21.0,23.93
Cavity,target,35,123.2,159.3,0.0,0.0
Connective tissue,single_cluster,256,94.4,161.3,28.8,10.83
Dermomyotome,single_cluster,273,120.0,155.8,4.7,21.59
Heart,single_cluster,67,109.1,178.1,23.5,4.66
Liver,single_cluster,2,116.5,157.0,7.1,1.0
Mesenchyme,single_cluster,316,135.8,162.8,13.1,28.49
Neural crest,single_cluster,237,123.2,202.0,42.7,23.21
Notochord,single_cluster,15,118.9,211.0,51.9,2.88
Sclerotome,single_cluster,129,144.6,173.6,25.7,13.11
