邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest_1_25_Target,142,69.217,0.487443661971831,1.958,0.136
Neural crest,139,69.02899999999998,0.4966115107913668,1.906,0.145
Notochord,116,66.438,0.5727413793103449,1.929,0.11
Branchial arch,116,57.79000000000002,0.498189655172414,2.088,0.12
AGM,81,44.59,0.5504938271604939,2.014,0.115
Brain,91,44.195000000000014,0.4856593406593408,1.787,0.108
Heart,89,44.11300000000001,0.4956516853932585,2.517,0.131
Sclerotome,91,42.94899999999999,0.47196703296703285,1.887,0.124
Liver,38,21.718999999999998,0.5715526315789473,2.038,0.169
Mesenchyme,37,21.167,0.5720810810810811,1.826,0.154
Cavity,23,12.738999999999999,0.5538695652173913,1.103,0.162
Dermomyotome,11,9.988,0.9079999999999999,2.163,0.369
