cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,92,134.0,178.1,15.2,6.66
Brain,single_cluster,216,144.8,202.0,13.9,9.01
Branchial arch,single_cluster,87,128.1,192.9,18.0,6.71
Cavity,single_cluster,42,142.3,182.4,6.6,16.55
Dermomyotome,single_cluster,1,150.0,174.0,14.9,0.0
Heart,single_cluster,37,127.0,184.4,18.9,4.59
Liver,single_cluster,10,131.0,183.5,15.2,4.77
Mesenchyme,single_cluster,75,154.3,184.2,9.7,8.43
Neural crest,single_cluster,178,137.1,193.2,9.8,8.83
Neural crest,target,144,145.5,188.2,0.0,0.0
Notochord,single_cluster,27,129.8,203.7,22.0,3.08
Sclerotome,single_cluster,47,144.5,174.4,13.8,4.27
