邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Neural crest,97,50,147,39.89500000000001,23.463,63.35800000000001,0.4112886597938145,0.46926,0.4310068027210885,0.09858403361344538,0.16762605042016812
Sclerotome,100,51,151,35.967000000000006,21.885999999999992,57.852999999999994,0.35967000000000005,0.42913725490196064,0.3831324503311258,0.09195798319327728,0.15112184873949583
Connective tissue,20,81,101,12.601,43.43599999999999,56.03699999999999,0.63005,0.5362469135802468,0.5548217821782178,0.18250420168067225,0.052945378151260505
Dermomyotome,33,33,66,14.849999999999998,17.84,32.69,0.44999999999999996,0.5406060606060606,0.49530303030303025,0.07495798319327732,0.06239495798319327
Brain,53,31,84,21.402999999999995,9.567,30.969999999999995,0.4038301886792452,0.3086129032258065,0.3686904761904761,0.04019747899159664,0.08992857142857141
AGM,52,20,72,15.278999999999998,9.744000000000002,25.023,0.29382692307692304,0.4872000000000001,0.34754166666666664,0.040941176470588245,0.06419747899159663
Liver,22,14,36,15.221000000000002,8.875,24.096000000000004,0.6918636363636365,0.6339285714285714,0.6693333333333334,0.037289915966386554,0.06395378151260504
Mesenchyme_1_27_Target,16,10,26,6.884,6.847000000000001,13.731000000000002,0.43025,0.6847000000000001,0.5281153846153847,0.028768907563025217,0.02892436974789916
Mesenchyme,9,9,18,6.552,6.552,13.104,0.728,0.728,0.728,0.027529411764705882,0.027529411764705882
