邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,93,101,194,35.969,48.99799999999999,84.96699999999998,0.3867634408602151,0.48512871287128706,0.4379742268041236
Branchial arch,82,85,167,31.821000000000012,38.756000000000014,70.57700000000003,0.3880609756097562,0.4559529411764708,0.42261676646706603
Sclerotome,67,78,145,23.551000000000002,38.72100000000002,62.27200000000002,0.3515074626865672,0.49642307692307713,0.42946206896551736
Heart,53,81,134,21.814999999999998,39.35399999999999,61.16899999999999,0.41160377358490563,0.48585185185185176,0.4564850746268656
AGM_1_98_Target,63,82,145,27.290000000000003,30.264000000000006,57.55400000000001,0.4331746031746032,0.3690731707317074,0.39692413793103454
Dermomyotome,18,45,63,15.332999999999998,26.70599999999999,42.03899999999999,0.8518333333333332,0.5934666666666664,0.667285714285714
AGM,43,43,86,17.587999999999994,17.587999999999994,35.17599999999999,0.4090232558139533,0.4090232558139533,0.4090232558139533
Brain,22,15,37,17.631999999999998,15.713000000000001,33.345,0.8014545454545453,1.0475333333333334,0.9012162162162162
Liver,36,42,78,12.530000000000001,15.665999999999997,28.195999999999998,0.34805555555555556,0.37299999999999994,0.36148717948717946
Cavity,7,4,11,2.169,1.164,3.333,0.3098571428571429,0.291,0.303
