邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,101,48.99799999999999,0.48512871287128706,1.955,0.113
Heart,81,39.35399999999999,0.48585185185185176,2.151,0.125
Branchial arch,85,38.756000000000014,0.4559529411764708,2.005,0.104
Sclerotome,78,38.72100000000002,0.49642307692307713,1.033,0.123
AGM_1_98_Target,82,30.264000000000006,0.3690731707317074,1.032,0.119
Dermomyotome,45,26.70599999999999,0.5934666666666664,1.431,0.383
AGM,43,17.587999999999994,0.4090232558139533,1.202,0.123
Brain,15,15.713000000000001,1.0475333333333334,1.428,0.463
Liver,42,15.665999999999997,0.37299999999999994,1.293,0.108
Cavity,4,1.164,0.291,0.429,0.143
