邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,93,35.969,0.3867634408602151,1.207,0.114
Branchial arch,82,31.821000000000012,0.3880609756097562,1.267,0.1
AGM_1_98_Target,63,27.290000000000003,0.4331746031746032,1.245,0.115
Sclerotome,67,23.551000000000002,0.3515074626865672,1.191,0.121
Heart,53,21.814999999999998,0.41160377358490563,2.189,0.106
Brain,22,17.631999999999998,0.8014545454545453,1.46,0.454
AGM,43,17.587999999999994,0.4090232558139533,1.202,0.123
Dermomyotome,18,15.332999999999998,0.8518333333333332,1.313,0.588
Liver,36,12.530000000000001,0.34805555555555556,1.337,0.124
Cavity,7,2.169,0.3098571428571429,0.448,0.09
