邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,21,11.356000000000002,0.5407619047619049,2.123,0.177
Sclerotome,11,7.757000000000001,0.7051818181818182,0.858,0.475
Liver,8,5.128,0.641,0.919,0.229
Connective tissue,6,2.553,0.4255,0.593,0.184
Branchial arch,6,2.101,0.3501666666666667,0.532,0.275
AGM,6,1.9100000000000001,0.31833333333333336,0.591,0.165
Dermomyotome,3,1.5799999999999998,0.5266666666666666,0.741,0.353
Neural crest,3,1.23,0.41,0.681,0.226
Cavity_1_86_Target,1,0.693,0.693,0.693,0.693
Mesenchyme,1,0.614,0.614,0.614,0.614
