邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,14,10.223,0.7302142857142858,2.023,0.191
Dermomyotome,6,4.7620000000000005,0.7936666666666667,1.318,0.199
Connective tissue,7,4.757,0.6795714285714285,1.433,0.226
Branchial arch,8,3.4930000000000003,0.43662500000000004,0.813,0.254
Neural crest,7,3.4369999999999994,0.49099999999999994,0.756,0.254
Sclerotome,4,2.757,0.68925,0.796,0.596
Mesenchyme,2,2.5860000000000003,1.2930000000000001,1.296,1.29
Liver,4,1.827,0.45675,0.66,0.251
Cavity_1_86_Target,5,1.616,0.32320000000000004,0.378,0.214
AGM,1,0.569,0.569,0.569,0.569
