邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Notochord,24,33,57,12.362999999999998,16.206,28.568999999999996,0.5151249999999999,0.4910909090909091,0.5012105263157894
Sclerotome,10,25,35,6.4,19.95,26.35,0.64,0.7979999999999999,0.7528571428571429
Branchial arch,26,18,44,9.87,11.287,21.157,0.3796153846153846,0.6270555555555556,0.4808409090909091
Neural crest,4,17,21,1.427,10.009,11.436,0.35675,0.588764705882353,0.5445714285714286
Brain,17,4,21,6.238,1.254,7.492000000000001,0.36694117647058827,0.3135,0.3567619047619048
Cavity_1_40_Target,0,2,2,0.0,0.762,0.762,0.0,0.381,0.381
