邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Brain,211,211,422,72.04399999999997,72.04399999999997,144.08799999999994,0.3414407582938387,0.3414407582938387,0.3414407582938387
Neural crest,55,69,124,37.773999999999994,44.954,82.728,0.6867999999999999,0.6515072463768116,0.6671612903225806
Brain_1_36_Target,76,47,123,34.954,25.977000000000004,60.931000000000004,0.45992105263157895,0.5527021276595746,0.49537398373983743
Cavity,17,35,52,7.902,15.331,23.233,0.4648235294117647,0.43802857142857143,0.4467884615384615
