邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
AGM,发送,1,COL1A1_integrin_a11b1_complex,Cavity,COL1A1,integrin,0.6,0.0
AGM,发送,2,NPPA_NPR1,Cavity,NPPA,NPR1,0.529,0.0
AGM,发送,3,IGF1_IGF1R_enhancerComGPC3,Cavity,IGF1,IGF1R,0.436,0.044
AGM,发送,4,IGF1_IGF1R,Cavity,IGF1,IGF1R,0.436,0.044
AGM,发送,5,BMP4_BMPR1A_BMPR2,Cavity,BMP4,BMPR1A,0.32,0.004
AGM,发送,6,BMP4_BMR1A_AVR2B,Cavity,BMP4,BMR1A,0.261,0.042
AGM,发送,7,BMP4_BMPR1B_BMPR2,Cavity,BMP4,BMPR1B,0.231,0.002
AGM,发送,8,BMP4_BMR1B_AVR2B,Cavity,BMP4,BMR1B,0.231,0.002
AGM,发送,9,BMP4_BMR1B_AVR2A,Cavity,BMP4,BMR1B,0.22,0.008
AGM,发送,10,WNT5A_FZD4_LRP5,Cavity,WNT5A,FZD4,0.205,0.03
AGM,接收,1,atRetinoicAcid_byALDH1A2_RAreceptor_RXRB,Cavity,byALDH1A2,atRetinoicAcid,0.564,0.0
AGM,接收,2,EFNA5_EPHB2,Cavity,EPHB2,EFNA5,0.411,0.005
AGM,接收,3,EFNA5_EPHA7,Cavity,EPHA7,EFNA5,0.406,0.016
AGM,接收,4,ANGPT1_TEK,Cavity,TEK,ANGPT1,0.195,0.0
Cavity_1_89_Target,发送,1,THBS1_CD36,Cavity,THBS1,CD36,0.35,0.004
Cavity_1_89_Target,接收,1,WNT2_SFRP2,Cavity,SFRP2,WNT2,0.419,0.011
Connective tissue,发送,1,COL1A1_integrin_a1b1_complex,Cavity,COL1A1,integrin,0.598,0.0
Connective tissue,发送,2,EFNA5_EPHA3,Cavity,EFNA5,EPHA3,0.556,0.0
Connective tissue,发送,3,PDGFC_PDGFRA,Cavity,PDGFC,PDGFRA,0.551,0.008
Connective tissue,发送,4,WNT5A_SFRP1,Cavity,WNT5A,SFRP1,0.521,0.0
Connective tissue,发送,5,PDGFA_PDGFRA,Cavity,PDGFA,PDGFRA,0.521,0.0
Connective tissue,发送,6,TNC_integrin_a9b1_complex,Cavity,TNC,integrin,0.364,0.0
Connective tissue,发送,7,EFNB3_EPHA4,Cavity,EFNB3,EPHA4,0.3,0.006
Connective tissue,发送,8,WNT5A_ROR1,Cavity,WNT5A,ROR1,0.284,0.017
Connective tissue,发送,9,EFNB2_EPHA4,Cavity,EFNB2,EPHA4,0.269,0.003
Connective tissue,发送,10,EFNB1_EPHA4,Cavity,EFNB1,EPHA4,0.253,0.038
Connective tissue,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.72,0.005
Connective tissue,接收,2,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,1.421,0.0
Connective tissue,接收,3,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,1.393,0.0
Connective tissue,接收,4,APP_FPR2,Cavity,FPR2,APP,0.582,0.008
Connective tissue,接收,5,WNT2_SFRP1,Cavity,SFRP1,WNT2,0.445,0.0
Connective tissue,接收,6,WNT2_SFRP2,Cavity,SFRP2,WNT2,0.39,0.0
Connective tissue,接收,7,RSPO1_LGR4,Cavity,LGR4,RSPO1,0.287,0.0
Dermomyotome,发送,1,NECTIN2_NECTIN3,Cavity,NECTIN2,NECTIN3,0.51,0.002
Dermomyotome,发送,2,TENM4_ADGRL2,Cavity,TENM4,ADGRL2,0.485,0.036
Dermomyotome,发送,3,LAMC1_integrin_a6b1_complex,Cavity,LAMC1,integrin,0.441,0.011
Dermomyotome,发送,4,TNC_integrin_a9b1_complex,Cavity,TNC,integrin,0.375,0.0
Dermomyotome,发送,5,BMP4_BMR1A_ACR2A,Cavity,BMP4,BMR1A,0.252,0.021
Dermomyotome,发送,6,BMP4_BMPR1B_BMPR2,Cavity,BMP4,BMPR1B,0.211,0.041
Dermomyotome,发送,7,BMP4_BMR1B_AVR2A,Cavity,BMP4,BMR1B,0.211,0.031
Dermomyotome,发送,8,BMP4_BMR1B_AVR2B,Cavity,BMP4,BMR1B,0.211,0.041
Dermomyotome,发送,9,TNC_integrin_a8b1_complex,Cavity,TNC,integrin,0.159,0.011
Dermomyotome,发送,10,TNC_integrin_a4b1_complex,Cavity,TNC,integrin,0.156,0.003
Dermomyotome,接收,1,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,1.333,0.0
Dermomyotome,接收,2,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,1.306,0.0
Dermomyotome,接收,3,CADM1_NECTIN3,Cavity,NECTIN3,CADM1,0.699,0.001
Dermomyotome,接收,4,TENM3_ADGRL1,Cavity,ADGRL1,TENM3,0.377,0.032
Dermomyotome,接收,5,Desmosterol_byDHCR7_NR1H2,Cavity,byDHCR7,Desmosterol,0.181,0.001
Heart,发送,1,IGF2_IGF2R,Cavity,IGF2,IGF2R,2.174,0.0
Heart,发送,2,FN1_integrin_aVb1_complex,Cavity,FN1,integrin,0.972,0.001
Heart,发送,3,COL1A1_integrin_a1b1_complex,Cavity,COL1A1,integrin,0.723,0.0
Heart,发送,4,LAMC1_integrin_a6b1_complex,Cavity,LAMC1,integrin,0.722,0.0
Heart,发送,5,COL1A2_integrin_a1b1_complex,Cavity,COL1A2,integrin,0.679,0.0
Heart,发送,6,NPPA_NPR1,Cavity,NPPA,NPR1,0.603,0.0
Heart,发送,7,COL4A1_ADGRG6,Cavity,COL4A1,ADGRG6,0.57,0.0
Heart,发送,8,COL4A2_ADGRG6,Cavity,COL4A2,ADGRG6,0.452,0.0
Heart,发送,9,CDH5_CDH5,Cavity,CDH5,CDH5,0.415,0.0
Heart,发送,10,COL4A5_ADGRG6,Cavity,COL4A5,ADGRG6,0.407,0.0
Heart,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.964,0.0
Heart,接收,2,IGF2_IGF1R,Cavity,IGF1R,IGF2,1.78,0.0
Heart,接收,3,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,1.322,0.0
Heart,接收,4,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,1.322,0.0
Heart,接收,5,PPIA_BSG,Cavity,BSG,PPIA,1.165,0.039
Heart,接收,6,APP_FPR2,Cavity,FPR2,APP,0.714,0.001
Heart,接收,7,LAMC1_integrin_a6b1_complex,Cavity,integrin,LAMC1,0.545,0.005
Heart,接收,8,CDH5_CDH5,Cavity,CDH5,CDH5,0.415,0.0
Heart,接收,9,ANGPT1_TEK,Cavity,TEK,ANGPT1,0.392,0.0
Heart,接收,10,EFNB3_EPHB2,Cavity,EPHB2,EFNB3,0.391,0.008
Liver,发送,1,DLK1_NOTCH1,Cavity,DLK1,NOTCH1,1.487,0.036
Liver,发送,2,TENM4_ADGRL2,Cavity,TENM4,ADGRL2,0.911,0.043
Liver,发送,3,NCAM1_FGFR1,Cavity,NCAM1,FGFR1,0.836,0.03
Liver,发送,4,PTPRS_NTRK3,Cavity,PTPRS,NTRK3,0.589,0.01
Liver,发送,5,WNT5A_FZD4_LRP6,Cavity,WNT5A,FZD4,0.341,0.031
Liver,接收,1,BMP7_BMPR1A_BMPR2,Cavity,BMPR1A,BMP7,0.675,0.017
Liver,接收,2,BMP7_BMR1A_ACR2A,Cavity,BMR1A,BMP7,0.638,0.013
Liver,接收,3,DLL3_NOTCH2,Cavity,NOTCH2,DLL3,0.279,0.04
Liver,接收,4,DLL3_NOTCH1,Cavity,NOTCH1,DLL3,0.251,0.031
Mesenchyme,发送,1,COL1A1_integrin_a11b1_complex,Cavity,COL1A1,integrin,0.623,0.0
Mesenchyme,发送,2,TNC_integrin_a9b1_complex,Cavity,TNC,integrin,0.309,0.04
Mesenchyme,接收,1,DLK1_NOTCH2,Cavity,NOTCH2,DLK1,1.311,0.002
Mesenchyme,接收,2,DLK1_NOTCH1,Cavity,NOTCH1,DLK1,1.283,0.0
Sclerotome,发送,1,PDGFC_PDGFRA,Cavity,PDGFC,PDGFRA,0.712,0.023
Sclerotome,发送,2,PDGFA_PDGFRA,Cavity,PDGFA,PDGFRA,0.682,0.012
Sclerotome,发送,3,CDH2_CDH2,Cavity,CDH2,CDH2,0.65,0.01
Sclerotome,发送,4,FLRT3_ADGRL3,Cavity,FLRT3,ADGRL3,0.648,0.0
Sclerotome,发送,5,TENM4_ADGRL3,Cavity,TENM4,ADGRL3,0.647,0.0
Sclerotome,发送,6,TENM3_FLRT3_complex_ADGRL3,Cavity,TENM3,FLRT3,0.632,0.0
Sclerotome,发送,7,TENM3_ADGRL3,Cavity,TENM3,ADGRL3,0.632,0.001
Sclerotome,发送,8,FLRT2_ADGRL3,Cavity,FLRT2,ADGRL3,0.625,0.0
Sclerotome,发送,9,COL1A1_integrin_a10b1_complex,Cavity,COL1A1,integrin,0.593,0.006
Sclerotome,发送,10,NPPA_NPR1,Cavity,NPPA,NPR1,0.546,0.0
Sclerotome,接收,1,IGF2_IGF2R,Cavity,IGF2R,IGF2,1.873,0.022
Sclerotome,接收,2,TENM3_ADGRL2,Cavity,ADGRL2,TENM3,0.823,0.003
Sclerotome,接收,3,TENM3_ADGRL1,Cavity,ADGRL1,TENM3,0.776,0.0
Sclerotome,接收,4,EFNA5_EPHB2,Cavity,EPHB2,EFNA5,0.712,0.0
Sclerotome,接收,5,EFNA5_EPHA3,Cavity,EPHA3,EFNA5,0.71,0.002
Sclerotome,接收,6,EFNA5_EPHA7,Cavity,EPHA7,EFNA5,0.707,0.002
Sclerotome,接收,7,CDH2_CDH2,Cavity,CDH2,CDH2,0.65,0.01
Sclerotome,接收,8,FLRT2_ADGRL1,Cavity,ADGRL1,FLRT2,0.609,0.0
Sclerotome,接收,9,SDC2_ADGRA2,Cavity,ADGRA2,SDC2,0.373,0.026
Sclerotome,接收,10,CDH5_CDH5,Cavity,CDH5,CDH5,0.346,0.039
