cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,154,127.8,174.8,16.2,12.61
Branchial arch,single_cluster,177,122.6,195.9,8.0,9.73
Cavity,single_cluster,135,114.3,178.8,11.0,13.51
Connective tissue,single_cluster,29,114.7,167.8,21.3,3.58
Heart,single_cluster,254,115.5,180.9,8.6,10.64
Heart,target,122,119.3,188.6,0.0,0.0
Liver,single_cluster,70,123.8,172.1,17.1,7.85
Neural crest,single_cluster,130,126.6,195.4,10.0,13.61
Notochord,single_cluster,1,132.0,199.0,16.5,0.0
