邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,116,140,256,37.97100000000001,64.49300000000001,102.46400000000003,0.3273362068965518,0.4606642857142858,0.4002500000000001
Notochord,76,87,163,34.38300000000001,42.53999999999999,76.923,0.45240789473684223,0.4889655172413792,0.47192024539877303
Branchial arch,84,93,177,25.92900000000001,42.727000000000004,68.656,0.3086785714285715,0.45943010752688174,0.38788700564971756
Brain_1_18_Target,64,81,145,27.293,35.77700000000001,63.07000000000001,0.426453125,0.44169135802469145,0.4349655172413794
Brain,76,76,152,31.141,31.141,62.282,0.40975,0.40975,0.40975
Sclerotome,37,46,83,18.782000000000004,29.03600000000001,47.81800000000001,0.5076216216216217,0.6312173913043481,0.576120481927711
Mesenchyme,28,65,93,9.051,31.512000000000004,40.563,0.32325,0.48480000000000006,0.43616129032258066
Cavity,4,3,7,1.13,1.9449999999999998,3.0749999999999997,0.2825,0.6483333333333333,0.4392857142857142
