邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Heart,100,100,200,42.19100000000002,42.19100000000002,84.38200000000003,0.4219100000000002,0.4219100000000002,0.4219100000000002,0.11311260053619307,0.11311260053619307,0.2680965147453083,0.2680965147453083,0.5361930294906166
Neural crest,90,107,197,36.085,48.196999999999996,84.282,0.40094444444444444,0.45043925233644855,0.42782741116751266,0.12921447721179624,0.0967426273458445,0.24128686327077747,0.2868632707774799,0.5281501340482574
Heart_1_18_Target,51,93,144,26.695000000000004,47.585999999999984,74.28099999999999,0.5234313725490197,0.5116774193548386,0.5158402777777777,0.12757640750670238,0.07156836461126007,0.13672922252010725,0.24932975871313673,0.38605898123324395
Branchial arch,90,70,160,36.06599999999998,35.795,71.86099999999999,0.4007333333333331,0.5113571428571428,0.4491312499999999,0.09596514745308311,0.09669168900804284,0.24128686327077747,0.1876675603217158,0.4289544235924933
Connective tissue,54,77,131,21.596000000000004,44.50800000000001,66.10400000000001,0.399925925925926,0.5780259740259741,0.5046106870229009,0.11932439678284185,0.05789812332439679,0.1447721179624665,0.2064343163538874,0.3512064343163539
Notochord,22,46,68,17.712000000000003,39.12899999999999,56.840999999999994,0.8050909090909092,0.8506304347826085,0.8358970588235293,0.10490348525469166,0.047485254691689016,0.058981233243967826,0.12332439678284182,0.18230563002680966
AGM,62,62,124,26.943000000000012,28.55699999999999,55.5,0.43456451612903246,0.4605967741935483,0.4475806451612903,0.07656032171581767,0.07223324396782844,0.16621983914209115,0.16621983914209115,0.3324396782841823
Liver,59,54,113,23.975000000000005,26.842,50.81700000000001,0.4063559322033899,0.49707407407407406,0.44970796460177,0.07196246648793565,0.06427613941018769,0.1581769436997319,0.1447721179624665,0.30294906166219837
Cavity,13,14,27,4.6,7.544000000000001,12.144000000000002,0.3538461538461538,0.5388571428571429,0.44977777777777783,0.020225201072386064,0.012332439678284181,0.03485254691689008,0.03753351206434316,0.07238605898123325
