邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,96,41.06699999999999,0.42778124999999995,0.982,0.156
Dermomyotome_1_105_Target,64,29.405000000000005,0.4594531250000001,1.724,0.113
Mesenchyme,55,21.043000000000003,0.38260000000000005,1.327,0.196
Dermomyotome,39,16.189999999999998,0.4151282051282051,1.476,0.127
AGM,36,15.152999999999999,0.4209166666666666,1.203,0.11
Brain,13,14.518999999999998,1.1168461538461538,1.674,0.444
Liver,22,8.996,0.40890909090909094,0.759,0.163
Cavity,0,0.0,0.0,0.0,0.0
