邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,72,31.88100000000001,0.4427916666666668,1.945,0.142
Notochord,33,15.970000000000004,0.48393939393939406,0.873,0.193
Sclerotome,20,15.169,0.7584500000000001,1.527,0.119
Dermomyotome,26,15.151000000000003,0.5827307692307694,1.494,0.216
Branchial arch,24,14.711,0.6129583333333334,1.665,0.208
Mesenchyme,13,9.164000000000001,0.704923076923077,1.392,0.142
Neural crest,15,8.0,0.5333333333333333,1.082,0.229
Brain,6,1.866,0.311,0.465,0.243
Cavity_1_10_Target,1,0.255,0.255,0.255,0.255
Cavity,1,0.223,0.223,0.223,0.223
