邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Heart,34,72,106,18.26,31.88100000000001,50.14100000000001,0.5370588235294118,0.4427916666666668,0.47302830188679257,0.5693035714285716,0.3260714285714286,0.6071428571428571,1.2857142857142858,1.8928571428571428
Notochord,24,33,57,11.808,15.970000000000004,27.778000000000006,0.492,0.48393939393939406,0.48733333333333345,0.2851785714285715,0.21085714285714285,0.42857142857142855,0.5892857142857143,1.0178571428571428
Branchial arch,13,24,37,6.052,14.711,20.762999999999998,0.4655384615384615,0.6129583333333334,0.5611621621621621,0.26269642857142855,0.10807142857142857,0.23214285714285715,0.42857142857142855,0.6607142857142857
Dermomyotome,9,26,35,4.034000000000001,15.151000000000003,19.185000000000002,0.4482222222222223,0.5827307692307694,0.5481428571428572,0.2705535714285715,0.0720357142857143,0.16071428571428573,0.4642857142857143,0.625
Sclerotome,11,20,31,3.8910000000000005,15.169,19.060000000000002,0.3537272727272728,0.7584500000000001,0.6148387096774194,0.27087500000000003,0.06948214285714287,0.19642857142857142,0.35714285714285715,0.5535714285714286
Mesenchyme,5,13,18,1.712,9.164000000000001,10.876000000000001,0.3424,0.704923076923077,0.6042222222222223,0.16364285714285717,0.030571428571428572,0.08928571428571429,0.23214285714285715,0.32142857142857145
Neural crest,7,15,22,2.376,8.0,10.376,0.3394285714285714,0.5333333333333333,0.47163636363636363,0.14285714285714285,0.04242857142857143,0.125,0.26785714285714285,0.39285714285714285
Brain,15,6,21,6.009,1.866,7.875,0.4006,0.311,0.375,0.03332142857142857,0.10730357142857143,0.26785714285714285,0.10714285714285714,0.375
Cavity,1,1,2,0.223,0.223,0.446,0.223,0.223,0.223,0.003982142857142857,0.003982142857142857,0.017857142857142856,0.017857142857142856,0.03571428571428571
Cavity_1_10_Target,0,1,1,0.0,0.255,0.255,0.0,0.255,0.255,0.0045535714285714285,0.0,0.0,0.017857142857142856,0.017857142857142856
