邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Notochord,158,158,316,68.41399999999997,68.41399999999997,136.82799999999995,0.43299999999999983,0.43299999999999983,0.43299999999999983,0.6910505050505048,0.6910505050505048
Branchial arch,143,121,264,65.32,55.43599999999997,120.75599999999997,0.45678321678321676,0.4581487603305783,0.4574090909090908,0.5599595959595957,0.6597979797979797
Notochord_1_5_Target,120,126,246,60.11900000000001,57.309,117.428,0.5009916666666667,0.4548333333333333,0.4773495934959349,0.5788787878787879,0.6072626262626263
Neural crest,137,136,273,55.100999999999985,54.94099999999999,110.04199999999997,0.4021970802919707,0.4039779411764705,0.403084249084249,0.5549595959595959,0.5565757575757574
Brain,113,92,205,53.90500000000001,35.084,88.989,0.47703539823008856,0.38134782608695655,0.4340926829268293,0.3543838383838384,0.5444949494949496
AGM,30,21,51,19.557000000000002,16.108,35.665000000000006,0.6519,0.7670476190476191,0.6993137254901962,0.16270707070707072,0.19754545454545458
Cavity,40,20,60,20.839999999999996,9.712000000000002,30.552,0.5209999999999999,0.4856000000000001,0.5092,0.09810101010101012,0.21050505050505047
