cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
Brain,single_cluster,512,91.6,229.7,6.5,17.03
Brain,target,58,92.6,236.1,0.0,0.0
Cavity,single_cluster,72,93.4,237.1,1.3,18.91
Neural crest,single_cluster,147,98.9,227.2,10.9,8.17
Notochord,single_cluster,17,104.8,234.0,12.4,6.21
