邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest_1_3_Target,142,55.526999999999994,0.3910352112676056,1.285,0.088
Brain,112,43.65899999999999,0.38981249999999995,1.27,0.097
Neural crest,108,39.892,0.3693703703703704,1.231,0.097
Branchial arch,84,37.87199999999999,0.4508571428571428,1.508,0.139
Sclerotome,20,13.634,0.6817,1.364,0.438
Cavity,5,3.929,0.7857999999999999,1.057,0.459
