邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,161,76.25,0.47360248447204967,1.885,0.115
Heart,71,74.134,1.0441408450704226,2.427,0.392
Branchial arch,112,52.18599999999999,0.4659464285714285,1.964,0.116
AGM,111,51.172999999999995,0.46101801801801795,1.694,0.117
Sclerotome,105,50.96000000000001,0.4853333333333334,1.156,0.088
Notochord,100,50.466999999999985,0.5046699999999998,1.247,0.174
Neural crest_1_71_Target,97,47.553,0.49023711340206183,1.909,0.122
Mesenchyme,77,34.68900000000001,0.4505064935064936,1.636,0.166
Brain,84,30.223000000000006,0.35979761904761914,1.156,0.134
Liver,46,18.317000000000004,0.3981956521739131,1.337,0.17
Cavity,7,2.6390000000000002,0.37700000000000006,0.995,0.136
