邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,161,76.25,0.47360248447204967,1.885,0.115
Neural crest_1_71_Target,110,58.997000000000014,0.5363363636363637,1.792,0.191
Branchial arch,115,56.49800000000002,0.4912869565217393,2.017,0.135
Notochord,96,56.45600000000001,0.5880833333333334,1.842,0.157
Brain,100,51.76700000000001,0.5176700000000001,1.739,0.11
Sclerotome,96,46.585,0.4852604166666667,1.844,0.132
Heart,46,41.39999999999999,0.8999999999999998,2.651,0.422
AGM,67,39.74,0.593134328358209,2.01,0.179
Liver,43,26.140000000000004,0.6079069767441861,2.057,0.163
Mesenchyme,41,22.576999999999998,0.5506585365853658,1.797,0.163
Cavity,33,18.860000000000003,0.5715151515151516,1.257,0.169
