邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,161,161,322,76.25,76.25,152.5,0.47360248447204967,0.47360248447204967,0.47360248447204967
Heart,46,71,117,41.39999999999999,74.134,115.53399999999999,0.8999999999999998,1.0441408450704226,0.9874700854700854
Branchial arch,115,112,227,56.49800000000002,52.18599999999999,108.68400000000001,0.4912869565217393,0.4659464285714285,0.47878414096916305
Notochord,96,100,196,56.45600000000001,50.466999999999985,106.923,0.5880833333333334,0.5046699999999998,0.5455255102040817
Neural crest_1_71_Target,110,97,207,58.997000000000014,47.553,106.55000000000001,0.5363363636363637,0.49023711340206183,0.5147342995169083
Sclerotome,96,105,201,46.585,50.96000000000001,97.54500000000002,0.4852604166666667,0.4853333333333334,0.48529850746268666
AGM,67,111,178,39.74,51.172999999999995,90.913,0.593134328358209,0.46101801801801795,0.5107471910112359
Brain,100,84,184,51.76700000000001,30.223000000000006,81.99000000000001,0.5176700000000001,0.35979761904761914,0.4455978260869566
Mesenchyme,41,77,118,22.576999999999998,34.68900000000001,57.266000000000005,0.5506585365853658,0.4505064935064936,0.4853050847457628
Liver,43,46,89,26.140000000000004,18.317000000000004,44.45700000000001,0.6079069767441861,0.3981956521739131,0.4995168539325844
Cavity,33,7,40,18.860000000000003,2.6390000000000002,21.499000000000002,0.5715151515151516,0.37700000000000006,0.537475
