邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,39,18.610000000000003,0.47717948717948727,1.942,0.132
Connective tissue,25,16.499,0.65996,1.709,0.189
Dermomyotome,18,11.891000000000002,0.6606111111111113,1.541,0.197
Branchial arch,15,11.337,0.7558,1.683,0.251
Sclerotome,19,10.17,0.5352631578947369,1.085,0.145
AGM,9,7.851,0.8723333333333333,1.461,0.357
Mesenchyme,7,7.505,1.072142857142857,1.44,0.246
Brain,23,6.632000000000001,0.2883478260869565,0.445,0.133
Neural crest,14,5.446,0.38899999999999996,0.762,0.24
Liver,3,2.023,0.6743333333333333,0.687,0.661
