邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,25,14.277,0.5710799999999999,2.115,0.257
Branchial arch,13,5.509,0.4237692307692308,0.887,0.152
Liver,7,5.263,0.7518571428571429,1.441,0.236
Dermomyotome,12,4.988,0.4156666666666667,0.735,0.194
Sclerotome,11,3.766,0.34236363636363637,0.573,0.157
Connective tissue,7,3.1639999999999997,0.45199999999999996,0.577,0.301
Neural crest,3,1.4819999999999998,0.49399999999999994,0.594,0.303
AGM,2,1.145,0.5725,0.575,0.57
Mesenchyme,1,0.585,0.585,0.585,0.585
Cavity_1_87_Target,1,0.264,0.264,0.264,0.264
