邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,25,25,50,14.277,14.050999999999998,28.327999999999996,0.5710799999999999,0.56204,0.56656
Branchial arch,13,11,24,5.509,6.0809999999999995,11.59,0.4237692307692308,0.5528181818181818,0.48291666666666666
Dermomyotome,12,9,21,4.988,5.6370000000000005,10.625,0.4156666666666667,0.6263333333333334,0.5059523809523809
Neural crest,3,14,17,1.4819999999999998,7.229,8.711,0.49399999999999994,0.5163571428571428,0.5124117647058823
Liver,7,4,11,5.263,1.807,7.07,0.7518571428571429,0.45175,0.6427272727272727
Connective tissue,7,5,12,3.1639999999999997,3.893,7.0569999999999995,0.45199999999999996,0.7786,0.5880833333333333
Sclerotome,11,6,17,3.766,2.7840000000000003,6.550000000000001,0.34236363636363637,0.464,0.38529411764705884
Mesenchyme,1,5,6,0.585,3.627,4.212,0.585,0.7253999999999999,0.702
AGM,2,4,6,1.145,1.7120000000000002,2.857,0.5725,0.42800000000000005,0.4761666666666667
Cavity_1_87_Target,1,6,7,0.264,2.016,2.2800000000000002,0.264,0.336,0.32571428571428573
