cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,143,110.9,159.5,11.1,8.03
Branchial arch,single_cluster,32,114.5,197.9,28.0,3.39
Cavity,target,7,114.9,169.9,0.0,0.0
Connective tissue,single_cluster,137,98.8,164.8,16.8,8.03
Dermomyotome,single_cluster,156,126.9,156.2,18.2,18.13
Heart,single_cluster,164,110.8,184.9,15.6,7.97
Liver,single_cluster,2,116.5,157.0,13.0,1.0
Mesenchyme,single_cluster,159,138.3,157.2,26.7,15.56
Neural crest,single_cluster,25,110.8,198.4,28.8,3.41
Sclerotome,single_cluster,21,138.9,162.6,25.1,6.69
