embedding_level,embedding_index,start,end
5,11,L5/13,L5/12
5,11,L5/12,L5/11
5,12,L5/35,L5/28
5,12,L5/28,L5/14
5,12,L5/14,L5/6
5,12,L5/6,L5/13
5,12,L5/13,L5/12
5,13,L5/35,L5/28
5,13,L5/28,L5/14
5,13,L5/14,L5/6
5,13,L5/6,L5/13
5,14,L5/35,L5/28
5,14,L5/28,L5/14
5,15,L5/35,L5/28
5,15,L5/28,L5/15
5,16,L5/35,L5/28
5,16,L5/28,L5/14
5,16,L5/14,L5/6
5,16,L5/6,L5/13
5,16,L5/13,L5/12
5,16,L5/12,L5/26
5,16,L5/26,L5/27
5,16,L5/27,L5/24
5,16,L5/24,L5/16
5,17,L5/35,L5/28
5,17,L5/28,L5/14
5,17,L5/14,L5/6
5,17,L5/6,L5/13
5,17,L5/13,L5/12
5,17,L5/12,L5/26
5,17,L5/26,L5/27
5,17,L5/27,L5/24
5,17,L5/24,L5/16
5,17,L5/16,L5/17
5,18,L5/35,L5/28
5,18,L5/28,L5/14
5,18,L5/14,L5/6
5,18,L5/6,L5/13
5,18,L5/13,L5/12
5,18,L5/12,L5/26
5,18,L5/26,L5/27
5,18,L5/27,L5/25
5,18,L5/25,L5/18
5,19,L5/35,L5/28
5,19,L5/28,L5/14
5,19,L5/14,L5/6
5,19,L5/6,L5/13
5,19,L5/13,L5/12
5,19,L5/12,L5/26
5,19,L5/26,L5/27
5,19,L5/27,L5/25
5,19,L5/25,L5/18
5,19,L5/18,L5/19
5,20,L5/35,L5/28
5,20,L5/28,L5/14
5,20,L5/14,L5/6
5,20,L5/6,L5/13
5,20,L5/13,L5/12
5,20,L5/12,L5/26
5,20,L5/26,L5/27
5,20,L5/27,L5/24
5,20,L5/24,L5/16
5,20,L5/16,L4/8
5,20,L4/8,L4/10
5,20,L4/10,L5/20
5,21,L5/35,L5/28
5,21,L5/28,L5/14
5,21,L5/14,L5/6
5,21,L5/6,L5/13
5,21,L5/13,L5/12
5,21,L5/12,L5/26
5,21,L5/26,L5/27
5,21,L5/27,L5/24
5,21,L5/24,L5/16
5,21,L5/16,L4/8
5,21,L4/8,L4/10
5,21,L4/10,L5/21
5,22,L5/35,L5/28
5,22,L5/28,L5/14
5,22,L5/14,L5/6
5,22,L5/6,L5/13
5,22,L5/13,L5/12
5,22,L5/12,L5/26
5,22,L5/26,L5/27
5,22,L5/27,L5/24
5,22,L5/24,L5/16
5,22,L5/16,L4/8
5,22,L4/8,L4/10
5,22,L4/10,L5/21
5,22,L5/21,L5/22
5,23,L5/35,L5/28
5,23,L5/28,L5/14
5,23,L5/14,L5/6
5,23,L5/6,L5/13
5,23,L5/13,L5/12
5,23,L5/12,L5/26
5,23,L5/26,L5/27
5,23,L5/27,L5/24
5,23,L5/24,L5/16
5,23,L5/16,L4/8
5,23,L4/8,L4/10
5,23,L4/10,L5/20
5,23,L5/20,L5/23
5,24,L5/35,L5/28
5,24,L5/28,L5/14
5,24,L5/14,L5/6
5,24,L5/6,L5/13
5,24,L5/13,L5/12
5,24,L5/12,L5/26
5,24,L5/26,L5/27
5,24,L5/27,L5/24
5,25,L5/35,L5/28
5,25,L5/28,L5/14
5,25,L5/14,L5/6
5,25,L5/6,L5/13
5,25,L5/13,L5/12
5,25,L5/12,L5/26
5,25,L5/26,L5/27
5,25,L5/27,L5/25
5,26,L5/35,L5/28
5,26,L5/28,L5/14
5,26,L5/14,L5/6
5,26,L5/6,L5/13
5,26,L5/13,L5/12
5,26,L5/12,L5/26
5,27,L5/35,L5/28
5,27,L5/28,L5/14
5,27,L5/14,L5/6
5,27,L5/6,L5/13
5,27,L5/13,L5/12
5,27,L5/12,L5/26
5,27,L5/26,L5/27
5,28,L5/35,L5/28
5,29,L5/35,L5/28
5,29,L5/28,L5/29
5,30,L5/35,L5/28
5,30,L5/28,L5/30
5,31,L5/35,L5/28
5,31,L5/28,L5/31
5,32,L5/35,L5/34
5,32,L5/34,L5/32
5,33,L5/35,L5/33
5,34,L5/35,L5/34
5,36,L5/35,L5/34
5,36,L5/34,L5/32
5,36,L5/32,L5/49
5,36,L5/49,L5/59
5,36,L5/59,L5/58
5,36,L5/58,L5/61
5,36,L5/61,L5/39
5,36,L5/39,L5/36
5,37,L5/35,L5/34
5,37,L5/34,L5/32
5,37,L5/32,L5/49
5,37,L5/49,L5/59
5,37,L5/59,L5/58
5,37,L5/58,L5/61
5,37,L5/61,L5/39
5,37,L5/39,L5/37
5,38,L5/35,L5/34
5,38,L5/34,L5/32
5,38,L5/32,L5/49
5,38,L5/49,L5/59
5,38,L5/59,L5/58
5,38,L5/58,L5/61
5,38,L5/61,L5/39
5,38,L5/39,L5/38
5,39,L5/35,L5/34
5,39,L5/34,L5/32
5,39,L5/32,L5/49
5,39,L5/49,L5/59
5,39,L5/59,L5/58
5,39,L5/58,L5/61
5,39,L5/61,L5/39
5,40,L5/35,L5/28
5,40,L5/28,L5/14
5,40,L5/14,L5/6
5,40,L5/6,L5/13
5,40,L5/13,L5/12
5,40,L5/12,L5/26
5,40,L5/26,L5/27
5,40,L5/27,L5/24
5,40,L5/24,L5/16
5,40,L5/16,L4/8
5,40,L4/8,L4/10
5,40,L4/10,L5/21
5,40,L5/21,L5/22
5,40,L5/22,L5/40
5,41,L5/35,L5/28
5,41,L5/28,L5/14
5,41,L5/14,L5/6
5,41,L5/6,L5/13
5,41,L5/13,L5/12
5,41,L5/12,L5/26
5,41,L5/26,L5/27
5,41,L5/27,L5/24
5,41,L5/24,L5/16
5,41,L5/16,L4/8
5,41,L4/8,L4/10
5,41,L4/10,L5/21
5,41,L5/21,L5/22
5,41,L5/22,L5/40
5,41,L5/40,L5/41
5,42,L5/35,L5/28
5,42,L5/28,L5/14
5,42,L5/14,L5/6
5,42,L5/6,L5/13
5,42,L5/13,L5/12
5,42,L5/12,L5/26
5,42,L5/26,L5/27
5,42,L5/27,L5/24
5,42,L5/24,L5/16
5,42,L5/16,L4/8
5,42,L4/8,L4/10
5,42,L4/10,L5/21
5,42,L5/21,L5/22
5,42,L5/22,L5/40
5,42,L5/40,L5/42
5,43,L5/35,L5/28
5,43,L5/28,L5/14
5,43,L5/14,L5/6
5,43,L5/6,L5/13
5,43,L5/13,L5/12
5,43,L5/12,L5/26
5,43,L5/26,L5/27
5,43,L5/27,L5/24
5,43,L5/24,L5/16
5,43,L5/16,L4/8
5,43,L4/8,L4/10
5,43,L4/10,L5/21
5,43,L5/21,L5/22
5,43,L5/22,L5/40
5,43,L5/40,L5/43
5,44,L5/35,L5/28
5,44,L5/28,L5/14
5,44,L5/14,L5/6
5,44,L5/6,L5/13
5,44,L5/13,L5/12
5,44,L5/12,L5/26
5,44,L5/26,L5/27
5,44,L5/27,L5/24
5,44,L5/24,L5/16
5,44,L5/16,L4/8
5,44,L4/8,L4/10
5,44,L4/10,L5/21
5,44,L5/21,L5/22
5,44,L5/22,L5/40
5,44,L5/40,L5/43
5,44,L5/43,L5/44
5,45,L5/35,L5/28
5,45,L5/28,L5/14
5,45,L5/14,L5/6
5,45,L5/6,L5/13
5,45,L5/13,L5/12
5,45,L5/12,L5/26
5,45,L5/26,L5/27
5,45,L5/27,L5/24
5,45,L5/24,L5/16
5,45,L5/16,L4/8
5,45,L4/8,L4/10
5,45,L4/10,L5/21
5,45,L5/21,L5/22
5,45,L5/22,L5/40
5,45,L5/40,L5/43
5,45,L5/43,L5/45
5,46,L5/35,L5/28
5,46,L5/28,L5/14
5,46,L5/14,L5/6
5,46,L5/6,L5/13
5,46,L5/13,L5/12
5,46,L5/12,L5/26
5,46,L5/26,L5/27
5,46,L5/27,L5/24
5,46,L5/24,L5/16
5,46,L5/16,L4/8
5,46,L4/8,L4/10
5,46,L4/10,L5/21
5,46,L5/21,L5/22
5,46,L5/22,L5/40
5,46,L5/40,L5/43
5,46,L5/43,L5/45
5,46,L5/45,L5/46
5,47,L5/35,L5/28
5,47,L5/28,L5/14
5,47,L5/14,L5/6
5,47,L5/6,L5/13
5,47,L5/13,L5/12
5,47,L5/12,L5/26
5,47,L5/26,L5/27
5,47,L5/27,L5/24
5,47,L5/24,L5/16
5,47,L5/16,L4/8
5,47,L4/8,L4/10
5,47,L4/10,L5/21
5,47,L5/21,L5/22
5,47,L5/22,L5/40
5,47,L5/40,L5/43
5,47,L5/43,L5/45
5,47,L5/45,L5/47
5,48,L5/35,L5/51
5,48,L5/51,L5/50
5,48,L5/50,L5/48
5,49,L5/35,L5/34
5,49,L5/34,L5/32
5,49,L5/32,L5/49
5,50,L5/35,L5/51
5,50,L5/51,L5/50
5,51,L5/35,L5/51
5,52,L5/35,L5/51
5,52,L5/51,L5/50
5,52,L5/50,L5/48
5,52,L5/48,L5/52
5,53,L5/35,L5/51
5,53,L5/51,L5/50
5,53,L5/50,L5/48
5,53,L5/48,L5/52
5,53,L5/52,L5/53
5,54,L5/35,L5/51
5,54,L5/51,L5/50
5,54,L5/50,L5/54
5,55,L5/35,L5/51
5,55,L5/51,L5/50
5,55,L5/50,L5/54
5,55,L5/54,L5/55
5,56,L5/35,L5/34
5,56,L5/34,L5/32
5,56,L5/32,L5/49
5,56,L5/49,L5/59
