path_id,length,weight,start_node,end_node,path_string
325,5,288,Brain_1_26,Cavity_1_43,Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Notochord_1_21 -> Cavity_1_43
326,4,265,Brain_1_26,Notochord_1_52,Brain_1_26 -> Brain_1_24 -> Brain_1_25 -> Notochord_1_52
334,5,231,Brain_1_24,Brain_1_17,Brain_1_24 -> Notochord_1_23 -> Notochord_1_21 -> Brain_1_19 -> Brain_1_17
353,6,218,Brain_1_22,Brain_1_4,Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4
357,6,213,Brain_1_20,Brain_1_2,Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_2
358,6,213,Brain_1_20,Brain_1_3,Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_3
359,6,227,Brain_1_20,Brain_1_12,Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12
395,6,244,Brain_1_55,Cavity_1_39,Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Cavity_1_37 -> Cavity_1_39
396,5,222,Brain_1_55,Cavity_1_34,Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_32 -> Cavity_1_34
418,6,214,Cavity_1_49,Brain_1_4,Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4
429,6,210,Cavity_1_33,Brain_1_12,Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12
495,6,244,AGM_1_121,Heart_1_74,AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_75 -> Heart_1_74
501,5,235,AGM_1_123,Heart_1_74,AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_75 -> Heart_1_74
