邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,148,67.39600000000003,0.4553783783783786,1.696,0.117
Neural crest,169,66.30299999999998,0.39232544378698214,1.636,0.106
Branchial arch,130,56.85499999999997,0.4373461538461536,1.741,0.118
Mesenchyme,54,50.72800000000001,0.9394074074074076,1.872,0.466
Brain,114,50.17400000000001,0.4401228070175439,1.591,0.093
Sclerotome,67,40.229000000000006,0.6004328358208956,1.668,0.2
Neural crest_1_15_Target,61,30.201000000000015,0.4950983606557379,1.581,0.121
AGM,27,21.275999999999996,0.7879999999999998,1.991,0.385
Cavity,9,7.602,0.8446666666666667,1.461,0.281
