邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,134,60.981,0.45508208955223883,2.117,0.119
Neural crest,125,54.074999999999996,0.4326,1.84,0.126
Branchial arch,104,47.61399999999999,0.45782692307692296,1.932,0.115
AGM,123,45.82100000000001,0.3725284552845529,0.978,0.12
Notochord,96,44.022,0.4585625,1.003,0.164
Neural crest_1_69_Target,82,42.681999999999995,0.5205121951219511,1.897,0.129
Sclerotome,87,41.76400000000001,0.4800459770114944,1.131,0.098
Brain,87,29.449,0.3384942528735632,1.176,0.121
Liver,57,21.991000000000003,0.3858070175438597,0.879,0.144
Cavity,5,1.8760000000000001,0.37520000000000003,0.52,0.195
