邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,99,54.09800000000003,0.5464444444444447,1.84,0.13
Neural crest,125,54.074999999999996,0.4326,1.84,0.126
Branchial arch,111,49.96700000000002,0.45015315315315335,1.961,0.125
Brain,100,49.94100000000001,0.4994100000000001,1.776,0.12
Neural crest_1_69_Target,88,44.67099999999999,0.5076249999999999,1.888,0.187
Heart,88,43.58099999999999,0.49523863636363624,2.409,0.127
AGM,75,40.478,0.5397066666666667,1.979,0.149
Sclerotome,74,34.22600000000001,0.4625135135135137,1.871,0.156
Liver,29,15.017000000000001,0.5178275862068966,1.996,0.156
Cavity,25,13.322000000000001,0.53288,1.699,0.12
