邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,115,54.77000000000002,0.4762608695652175,1.865,0.107
Sclerotome,148,52.60099999999998,0.35541216216216204,0.849,0.106
AGM,116,38.642999999999994,0.3331293103448275,1.14,0.093
Heart,97,37.739999999999995,0.38907216494845354,2.285,0.101
Branchial arch,62,36.88699999999999,0.5949516129032257,2.164,0.171
Dermomyotome,82,30.119999999999997,0.3673170731707317,1.16,0.095
Liver,66,22.555,0.34174242424242424,1.347,0.108
Connective tissue,55,21.163000000000007,0.38478181818181834,1.832,0.106
Brain,22,17.792,0.8087272727272729,1.454,0.444
AGM_1_119_Target,39,12.872999999999998,0.330076923076923,0.821,0.104
Mesenchyme,32,11.606000000000002,0.36268750000000005,0.869,0.114
Cavity,10,4.298,0.4298,0.785,0.082
