邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,115,154,269,54.77000000000002,64.00800000000004,118.77800000000005,0.4762608695652175,0.41563636363636386,0.4415539033457251
Sclerotome,148,145,293,52.60099999999998,58.52000000000004,111.12100000000001,0.35541216216216204,0.403586206896552,0.3792525597269625
Heart,97,133,230,37.739999999999995,56.94099999999999,94.68099999999998,0.38907216494845354,0.4281278195488721,0.41165652173913037
Branchial arch,62,94,156,36.88699999999999,51.602000000000004,88.489,0.5949516129032257,0.5489574468085107,0.5672371794871796
AGM,116,116,232,38.642999999999994,38.642999999999994,77.28599999999999,0.3331293103448275,0.3331293103448275,0.3331293103448275
Connective tissue,55,114,169,21.163000000000007,55.158999999999985,76.32199999999999,0.38478181818181834,0.4838508771929823,0.45160946745562125
Dermomyotome,82,87,169,30.119999999999997,37.479000000000006,67.599,0.3673170731707317,0.4307931034482759,0.3999940828402367
Liver,66,72,138,22.555,35.091,57.646,0.34174242424242424,0.487375,0.4177246376811594
Mesenchyme,32,93,125,11.606000000000002,32.85100000000001,44.457000000000015,0.36268750000000005,0.3532365591397851,0.35565600000000014
Brain,22,15,37,17.792,15.805000000000001,33.597,0.8087272727272729,1.0536666666666668,0.9080270270270271
AGM_1_119_Target,39,35,74,12.872999999999998,13.495,26.367999999999995,0.330076923076923,0.38557142857142856,0.35632432432432426
Cavity,10,4,14,4.298,1.149,5.447,0.4298,0.28725,0.38907142857142857
