邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,154,64.00800000000004,0.41563636363636386,2.049,0.079
Sclerotome,145,58.52000000000004,0.403586206896552,1.661,0.085
Heart,133,56.94099999999999,0.4281278195488721,2.05,0.091
Connective tissue,114,55.158999999999985,0.4838508771929823,1.918,0.12
Branchial arch,94,51.602000000000004,0.5489574468085107,2.128,0.161
AGM,116,38.642999999999994,0.3331293103448275,1.14,0.093
Dermomyotome,87,37.479000000000006,0.4307931034482759,1.677,0.109
Liver,72,35.091,0.487375,1.807,0.1
Mesenchyme,93,32.85100000000001,0.3532365591397851,1.375,0.109
Brain,15,15.805000000000001,1.0536666666666668,1.454,0.451
AGM_1_119_Target,35,13.495,0.38557142857142856,1.135,0.111
Cavity,4,1.149,0.28725,0.408,0.164
