邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,127,44.256,0.3484724409448819,1.171,0.105
Notochord,81,37.93499999999999,0.4683333333333332,1.128,0.122
Brain_1_4_Target,82,34.603,0.4219878048780488,0.972,0.128
Branchial arch,60,20.964000000000006,0.3494000000000001,1.231,0.106
Sclerotome,29,15.555000000000001,0.5363793103448277,1.344,0.152
Brain,28,10.956000000000001,0.39128571428571435,1.108,0.134
Mesenchyme,21,6.6949999999999985,0.31880952380952376,0.6,0.142
Cavity,1,0.539,0.539,0.539,0.539
