邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,104,48.05499999999999,0.46206730769230764,1.723,0.116
Notochord,76,37.77300000000001,0.497013157894737,0.993,0.125
Branchial arch,70,32.795,0.4685,1.791,0.101
Brain_1_4_Target,88,30.732000000000006,0.3492272727272728,1.147,0.118
Mesenchyme,58,26.758,0.4613448275862069,1.47,0.154
Sclerotome,29,18.196,0.627448275862069,1.344,0.225
Brain,28,10.956000000000001,0.39128571428571435,1.108,0.134
Cavity,2,0.708,0.354,0.404,0.304
